title,site,country,year_release,box_office,director,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Son of God,http://www.imdb.com/title/tt3210686/,US,2014,$59.7M,Christopher Spencer,Jesus,Historical,Known,Middle Eastern (White),0,Male,Diogo Morgado
Soul Surfer,http://www.imdb.com/title/tt1596346/,US,2011,$43.9M,Sean McNamara,Bethany Hamilton,Athlete,Unknown,,0,Female,AnnaSophia Robb
Spartacus,http://www.imdb.com/title/tt0054331/,US,1960,-,Stanley Kubrick,Spartacus,Historical,Unknown,,0,Male,Kirk Douglas
Spitfire,http://www.imdb.com/title/tt0034734/,UK,1942,-,Leslie Howard,R. J. Mitchell,Military,Known,White,0,Male,Leslie Howard
Squanto: A Warrior's Tale,http://www.imdb.com/title/tt0111271/,US,1994,$3.34M,Xavier Koller,Squanto,Historical,Known,Native American,1,Male,Adam Beach
Stander,http://www.imdb.com/title/tt0326208/,Canada/UK,2003,$19.1K,Bronwen Hughes,Andre Stander,Other,Known,White,0,Male,Thomas Jane
Star 80,http://www.imdb.com/title/tt0086355/,US,1983,$6.5M,Bob Fosse,Dorothy Stratten,Actress,Known,White,0,Female,Mariel Hemingway
Star!,http://www.imdb.com/title/tt0063642/,US,1968,$4M,Robert Wise,Gertrude Lawrence,Actress,Known,White,0,Female,Julie Andrews
Stars and Stripes Forever,http://www.imdb.com/title/tt0045187/,US,1952,-,Henry Koster,John Philip Sousa,Musician,Known,White,0,Male,Clifton Webb
Steal This Movie,http://www.imdb.com/title/tt0161216/,US,2000,$76.1K,Robert Greenwald,Abbie Hoffman,Activist,Known,White,0,Male,Vincent D'Onofrio
Stoned,http://www.imdb.com/title/tt0426627/,UK,2005,-,Stephen Woolley,Brian Jones,Musician,Known,White,0,Male,Leo Gregory
Story of G.I. Joe,http://www.imdb.com/title/tt0038120/,US,1945,-,William A. Wellman,Ernie Pyle,Media,Unknown,,0,Male,Burgess Meredith
Sunrise at Campobello,http://www.imdb.com/title/tt0054354/,US,1960,-,Vincent J. Donehue,Franklin Roosevelt,World leader,Known,White,0,Male,Ralph Bellamy
Surviving Picasso,http://www.imdb.com/title/tt0117791/,US,1996,$1.99M,James Ivory,Francoise Gilot,Artist,Known,White,0,Female,Natascha McElhone
