title,site,country,year_release,box_office,director,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
The Fifth Estate,http://www.imdb.com/title/tt1837703/,US,2013,$3.25M,Bill Condon,Julian Assange,Other,Known,White,0,Male,Benedict Cumberbatch
The Fighter,http://www.imdb.com/title/tt0964517/,US,2010,$93.6M,David O. Russell,Micky Ward,Athlete,Known,White,0,Male,Mark Wahlberg
The First Grader,http://www.imdb.com/title/tt0790663/,US,2010,$331K,Justin Chadwick,Kimani Ng�۪ang�۪a Maruge,Other,Known,African,1,Male,Oliver Litondo
The Five Pennies,http://www.imdb.com/title/tt0052809/,US,1959,-,Melville Shavelson,"Loring ""Red"" Nichols",Musician,Unknown,,0,Male,Danny Kaye
The Gallant Hours,http://www.imdb.com/title/tt0053849/,US,1960,-,Robert Montgomery,"William F. ""Bull"" Halsey, Jr.",Military,Known,White,0,Male,James Cagney
The Gaul,http://www.imdb.com/title/tt0199481/,Canada,2001,-,Jacques Dorfmann,Vercingetorix,Historical,Known,White,0,Male,Christopher Lambert
The General,http://www.imdb.com/title/tt0120706/,UK,1998,$1.21M,John Boorman,Martin Cahill,Criminal,Known,White,0,Male,Brendan Gleeson
The Girl in the Red Velvet Swing,http://www.imdb.com/title/tt0048119/,US,1955,-,Richard Fleischer,Evelyn Nesbit (Thaw),Actress,Known,White,0,Female,Joan Collins
The Glenn Miller Story,http://www.imdb.com/title/tt0047030/,US,1954,-,Anthony Mann,Glenn Miller,Musician,Known,White,0,Male,James Stewart
The Great Caruso,http://www.imdb.com/title/tt0043599/,US,1951,-,Richard Thorpe,Enrico Caruso,Musician,Known,White,0,Male,Mario Lanza
The Great Debaters,http://www.imdb.com/title/tt0427309/,US,2007,$30.2M,Denzel Washington,Melvin Tolson,Academic,Known,African American,1,Male,Denzel Washington
The Great Moment,http://www.imdb.com/title/tt0036880/,US,1944,-,Preston Sturges,W.T. Morton,Medicine,Unknown,,0,Male,Joel McCrea
The Great Waltz,http://www.imdb.com/title/tt0030202/,US,1938,-,Julien Duvivier,Johann Strauss II,Musician,Known,White,0,Male,Fernand Gravey
The Great Ziegfeld,http://www.imdb.com/title/tt0027698/,US,1936,-,Robert Z. Leonard,Florenz Ziegfeld,Musician,Known,White,0,Male,William Powell
The Greatest,http://www.imdb.com/title/tt0076111/,US/UK,1977,-,Tom Gries,Muhammad Ali,Athlete,Known,African American,1,Male,Muhammad Ali
The Greatest Story Ever Told,http://www.imdb.com/title/tt0059245/,US,1965,$8M,George Stevens,Jesus,Historical,Known,Middle Eastern (White),0,Male,Max von Sydow
The Grey Fox,http://www.imdb.com/title/tt0085622/,Canada,1982,-,Phillip Borsos,Bill Miner,Other,Unknown,,0,Male,Richard Farnsworth
The Hammer,http://www.imdb.com/title/tt1094666/,US,2010,-,Oren Kaplan,Matt Hamill,Athlete,Unknown,,0,Male,Russell Harvard
The Happy Hooker,http://www.imdb.com/title/tt0073091/,US,1975,-,Nicholas Sgarro,Xaviera Hollander,Other,Known,White,0,Female,Lynn Redgrave
The House of Rothschild,http://www.imdb.com/title/tt0025272/,US,1934,-,Alfred L. Werker,Mayer Rothschild,Other,Known,White,0,Male,George Arliss
The Hunter,http://www.imdb.com/title/tt0080907/,US,1980,-,Buzz Kulik,"Ralph ""Papa"" Thorson",Other,Unknown,,0,Male,Steve McQueen
The Hurricane,http://www.imdb.com/title/tt0174856/,US,1999,$50.7M,Norman Jewison,"Rubin ""Hurricane"" Carter",Athlete,Known,African American,1,Male,Denzel Washington
The Iceman,http://www.imdb.com/title/tt1491044/,US,2012,$1.94M,Ariel Vromen,Richard Kuklinski,Criminal,Known,White,0,Male,Michael Shannon
The Idolmaker,http://www.imdb.com/title/tt0080913/,US,1980,-,Taylor Hackford,Bob Marcucci,Other,Unknown,,0,Male,Ray Sharkey
The Imitation Game,http://www.imdb.com/title/tt2084970/,US/UK,2014,$91.1M,Morten Tyldum,Alan Turing,Academic,Known,White,0,Male,Benedict Cumberbatch
The Inn of the Sixth Happiness,http://www.imdb.com/title/tt0051776/,US,1958,-,Mark Robson,Gladys Aylward,Other,Known,White,0,Female,Ingrid Bergman
The Insider,http://www.imdb.com/title/tt0140352/,US,1999,$29M,Michael Mann,Jeffrey Wigand,Activist,Unknown,,0,Male,Russell Crowe
The Invisible Woman,http://www.imdb.com/title/tt1700845/,UK,2013,$1.23M,Ralph Fiennes,Charles Dickens,Author,Known,White,0,Male,Ralph Fiennes
The Iron Lady,http://www.imdb.com/title/tt1007029/,UK,2011,$30M,Phyllida Lloyd,Margaret Thatcher,World leader,Known,White,0,Female,Meryl Streep
The Jackie Robinson Story,http://www.imdb.com/title/tt0042609/,US,1950,-,Alfred E. Green,Jackie Robinson,Athlete,Known,African American,1,Male,Jackie Robinson
The Jesus Film,http://www.imdb.com/title/tt0079368/,US,1979,-,"John Krish, Peter Sykes",Jesus,Historical,Known,Middle Eastern (White),0,Male,Brian Deacon
The Jolson Story,http://www.imdb.com/title/tt0038661/,US,1946,-,Alfred E. Green,Al Jolson,Musician,Known,White,0,Male,Larry Parks
The King and I,http://www.imdb.com/title/tt0049408/,US,1956,-,Walter Lang,Anna Leonowens,Other,Known,Multi racial,0,Female,Deborah Kerr
The King of Kings,http://www.imdb.com/title/tt0018054/,US,1927,-,Cecil B. DeMille,Jesus,Historical,Known,Middle Eastern (White),0,Male,H.B. Warner
The King's Speech,http://www.imdb.com/title/tt1504320/,US/UK,2010,$139M,Tom Hooper,King George VI,Historical,Known,White,0,Male,Colin Firth
The Lady,http://www.imdb.com/title/tt1802197/,UK,2011,-,Luc Besson,Aung San Suu Kyi,Activist,Known,Asian,1,Female,Michelle Yeoh
The Last Emperor,http://www.imdb.com/title/tt0093389/,UK,1987,$109K,Bernardo Bertolucci,Henry Pu Yi,World leader,Known,Asian,1,Male,John Lone
The Last King of Scotland,http://www.imdb.com/title/tt0455590/,UK,2006,$17.6M,Kevin Macdonald,Idi Amin,Other,Known,African,1,Male,Forest Whitaker
The Last of Robin Hood,http://www.imdb.com/title/tt2450440/,US,2013,$270K,"Richard Glatzer, Wash Westmoreland",Errol Flynn,Actor,Known,White,0,Male,Kevin Kline
The Last Ride,http://www.imdb.com/title/tt1605803/,US,2012,-,Harry Thomason,Hank Williams,Musician,Unknown,,0,Male,Henry Thomas
The Last Station,http://www.imdb.com/title/tt0824758/,UK,2009,$6.62M,Michael Hoffman,Leo Tolstoy,Author,Known,White,0,Male,Christopher Plummer
The Last Time I Committed Suicide,http://www.imdb.com/title/tt0119502/,US,1997,$12.8K,Stephen Kay,Neal Cassady,Author,Unknown,,0,Male,Thomas Jane
The Lawless Breed,http://www.imdb.com/title/tt0045992/,US,1953,-,Raoul Walsh,John Wesley Hardin,Criminal,Unknown,,0,Male,Rock Hudson
The Left Handed Gun,http://www.imdb.com/title/tt0051849/,US,1958,-,Arthur Penn,Henry McCarty (Billy the Kid),Criminal,Known,White,0,Male,Paul Newman
The Life and Death of Peter Sellers,http://www.imdb.com/title/tt0352520/,US,2004,-,Stephen Hopkins,Peter Sellers,Actor,Known,White,0,Male,Geoffrey Rush
The Life of Emile Zola,http://www.imdb.com/title/tt0029146/,US,1937,-,William Dieterle,Emile Zola,Author,Known,White,0,Male,Paul Muni
The Long Day Closes,http://www.imdb.com/title/tt0104753/,UK,1992,$22.8K,Terence Davies,Terence Davies,Other,Known,White,0,Male,Leigh McCormack
The Long Gray Line,http://www.imdb.com/title/tt0048312/,US,1955,-,John Ford,Marty Maher,Military,Known,White,0,Male,Tyrone Power
The Longshots,http://www.imdb.com/title/tt1091751/,US,2008,$11.5M,Fred Durst,Jasmine Plummer,Athlete,Known,African American,1,Female,Keke Palmer
The Look of Love,http://www.imdb.com/title/tt1951216/,US/UK,2013,$10.4K,Michael Winterbottom,Paul Raymond,Other,Unknown,,0,Male,Steve Coogan
The Lover,http://www.imdb.com/title/tt0101316/,UK,1992,$4.9M,Jean-Jacques Annaud,Marguerite Duras,Other,Known,White,0,Female,Jane March 
The Madness of King George,http://www.imdb.com/title/tt0110428/,UK,1994,$15.2M,Nicholas Hytner,George III of UK,Historical,Known,White,0,Male,Nigel Hawthorne
The Magic Box,http://www.imdb.com/title/tt0043769/,UK,1951,-,John Boulting,William Friese-Greene,Other,Unknown,,0,Male,Robert Donat
The Man Who Saw Tomorrow,http://www.imdb.com/title/tt0081109/,US,1981,-,Robert Guenette,Michel de Nostredame,Academic,Known,White,0,Male,Richard Butler
The Message,http://www.imdb.com/title/tt0074896/,UK,1977,-,Moustapha Akkad,Muhammad,Historical,Known,Middle Eastern,1,Male,Anthony Quinn
The Miracle Maker,http://www.imdb.com/title/tt0208298/,UK,2000,-,"Derek W. Hayes, Stanislav Sokolov",Jesus,Historical,Known,Middle Eastern (White),0,Male,Ralph Fiennes
The Motorcycle Diaries,http://www.imdb.com/title/tt0318462/,US/UK,2004,$16.8M,Walter Salles,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,Gael Garc�_a Bernal
The Music Lovers,http://www.imdb.com/title/tt0066109/,UK,1970,-,Ken Russell,Peter Ilych Tchaikovsky,Musician,Known,White,0,Male,Richard Chamberlain
