id,name,latitude,longitude,price,room_type,number_of_reviews
28436814,Cozy flat 8 min Atocha,40.40256,-3.6997,40,Entire home/apt,7
25945766,Ibiza home besides the Retiro park,40.41485,-3.67696,100,Entire home/apt,3
23389190,TRIBUNAL,40.42459,-3.70233,80,Entire home/apt,6
9664064,Double Room in Lavapiés + Breakfast,40.40799000000001,-3.70028,38,Private room,289
38447116,Piso en Madrid rio con WiFi,40.39372,-3.72426,75,Entire home/apt,0
7334350,Sunny double bedroom Madrid OldTown,40.41187,-3.70902,38,Private room,119
6606334,Habitación Individual,40.39411,-3.69555,35,Private room,0
38660844,Design studio in the heart of the city,40.42781,-3.70044,88,Entire home/apt,0
17469186,Habitación Canillas,40.46212,-3.62635,16,Private room,133
29978239,Madrid Center Welcome,40.39349,-3.69795,17,Private room,40
21808155,"New, bright, central, 1-bedroom, Reina Sofia, AC",40.41019,-3.69545,100,Hotel room,4
35656216,"001 EDIFICIO A ESTRENAR EN MADRID, 52 HABITACIONES",40.38057,-3.70654,34,Private room,0
26002097,NEW & Modern LAVAPIES | WIFI,40.40973,-3.70045,55,Entire home/apt,70
34611258,Air-conditioned Double Room in the centre,40.41627,-3.6949,59,Private room,0
32685287,Amazing Loft Amazing Location,40.40985,-3.70055,55,Entire home/apt,40
36055437,Big apartment in heart of Madrid,40.41152,-3.69533,150,Entire home/apt,0
19109336,White and Wood,40.41055,-3.70738,80,Entire home/apt,212
30712726,INDIVIDUAL ROOMS IN AN UNDERGRADUATE STUDENTS FLAT,40.43329,-3.71853,29,Private room,0
19017959,medium size room in the heart of madrid,40.41463,-3.7012,40,Private room,1
6549680,Amplia habitación junto al Retiro,40.41915,-3.67668,29,Private room,105
28665693,Apartamento 2,40.41464000000001,-3.69069,150,Entire home/apt,0
35158391,habitación muy agradable a 15 min wuanda y sol,40.35591,-3.69026,450,Private room,0
23782901,Aparment  manzanares,40.39851,-3.72156,75,Entire home/apt,12
13280875,The flat of your dreams in Madrid's Soho,40.42842,-3.69683,10,Private room,0
37685590,HABITACIÒN  PARA SEÑORITAS ESTUDIANTES O TRABAJO,40.40727,-3.70482,350,Private room,0
38723612,Habitación en Madrid a 15 min de puerta de sol.,40.42727,-3.65315,22,Private room,0
11780712,PRÍVATE ROOM COMFORTABLE,40.40852,-3.70161,22,Private room,27
34895701,Disfruta de tu viaje y descansa,40.38318,-3.70688,20,Private room,1
20981255,Volvoreta,40.40881,-3.70915,27,Private room,150
7946804,CHUECA - Céntrico y Reluciente!,40.42383,-3.69688,95,Entire home/apt,146
36346840,GIARDINI: tu rincón de paz en la ciudad de Madrid!,40.41984,-3.7009,148,Entire home/apt,3
756257,Fuencarral apartment,40.42751,-3.70345,100,Hotel room,13
27607018,Vivienda independiente en Madrid Moncloa,40.43352,-3.71507,250,Private room,0
35258567,Acogedor apartamento a pie de calle en Lavapiés,40.41059,-3.69811,60,Entire home/apt,3
